name,id,food,price,location,avg_rating
Sylvia’s Restaurant,6169,Southern,2,Harlem,4.32848
Le Gratin,60029,French,3,Lower Manhattan,4.71728
SHION 69 Leonard Street,888,Japanese,4,TriBeCa,4.66412
The Bar at Manhatta,59549,American,1,Financial District,4.76995
Bellini at Harry's Table,59544,Italian,1,New York,4.27726
Au Cheval - NYC,5769,American,2,Tribeca,4.75353
Mena,58297,International,1,TriBeCa,4.46829
Crown Shy,10726,American,3,Financial District,4.64614
SAGA,52855,New American,4,Financial District,4.8321
One White Street,49137,American,3,Tribeca,4.73259
Overstory,53052,Cocktail Bar,2,Financial District,4.82211
Frenchette,1946,French,2,Tribeca,4.61336
Liberty Bistro,175,French,2,Battery Park City,4.33111
NAKAJI,10163,Sushi,4,Chinatown,4.8679
Locanda Verde,52612,Italian,3,TriBeCa,4.46053
Malibu Farm New York,7192,Californian,2,The Seaport,4.25452
The Tyger,34814,Asian,2,Soho,4.64198
Dante Seaport,58736,Cocktail Bar,1,The Seaport,3.668
The Fulton by Jean-Georges,5932,Seafood,2,The Seaport,4.43042
Golden Diner,9520,Asian American,1,Chinatown/LES,4.76994
Tomiño Taberna Gallega,50250,Spanish,2,Soho,4.75191
l'abeille,59006,French,3,Tribeca,4.7827
MP Governors Island,52210,Italian,4,Governors Island,4.88889
Little Ways,37837,American,1,Soho,4.55878
Veranda,50229,American,2,SoHo,4.46736
The Dead Rabbit,38660,Irish,2,Financial District,4.82955
Shoo Shoo,4044,Mediterranean,2,Nolita,4.67315
Pasquale Jones,440,Pizza,2,Nolita,4.6929
Lobby Lounge,60639,Cocktail Bar,1,New York,4.94118
19 Cleveland,3899,Israeli,2,Soho,4.5835
Corner Bar,59068,American,1,Lower East Side,4.81215
Thai Diner,49453,Thai,1,Nolita,4.73138
Kimika,30248,Asian,2,Nolita,4.38039
Balthazar,50227,French,3,Soho,4.64989
Wayla,5192,Thai,2,Lower East Side,4.74944
Le Dive,60381,French,1,Lower East Side,4.88889
Wan Wan,59570,Thai,1,Nolita,4.75543
Wayan,4599,Southeast Asian,2,Nolita,4.65104
HIROHISA,40734,Japanese,4,Soho,4.70784
Gem,49194,New American,3,Lower East Side,4.72647
cloudM rooftop bar at citizenM Bowery,3233,Cocktail Bar,2,Lower East Side,4.42786
Boqueria Soho,27219,Tapas,2,Soho,4.67634
Peasant,50826,Italian,3,Nolita,4.5761
Dirt Candy,29371,Vegetarian,2,Lower East Side,4.81755
Sant Ambroeus - Soho,54225,Italian,3,Soho,4.44898
Loreley Beer Garden,1190,German,2,Lower East Side,4.36659
Lure Fishbar,49982,Seafood,3,SoHo,4.43353
Taikun Sushi,50244,Sushi,3,Lower East Side,4.91304
The Back Room at Double Chicken Please,42534,Contemporary American,2,Lower East Side,4.7432
Forsythia,27809,Italian,2,Lower East Side,4.78437
Sadelle's,29967,Brunch,2,SOHO,4.63905
Sushi Ikumi,40735,Sushi,4,Soho,4.93023
Bar Tulix,58996,Mexican,1,Soho,4.44106
The Musket Room,3630,International,2,Soho,4.58078
Dhamaka,48994,Indian,2,Essex Market,4.48066
Lola Taverna,7502,Greek,2,SoHo,4.50176
Matsunori,58553,Sushi,1,New York,4.77363
Gugu Room,60350,Filipino,1,Lower East Side,4.49398
Raku Soho,2026,Japanese,2,SoHo,4.83595
12 Chairs Cafe Soho,4994,Israeli,1,Soho,4.51776
Charlie Bird,5,Italian,3,SoHo,4.66841
Little Prince,54193,French,2,SoHo,4.56575
Torien,7318,Japanese,4,Noho,4.83642
